session_id,top1,top2,top3,top4,top5
263698,A,A,A,A,A
10768,A,A,A,A,A
369848,A,A,A,A,A
223379,A,A,A,A,A
617939,A,A,A,A,A
231319,A,A,A,A,A
368398,A,A,A,A,A
317789,A,A,A,A,A
194509,A,A,A,A,A
494308,A,A,A,A,A
215568,A,A,A,A,A
279368,A,A,A,A,A
620478,A,A,A,A,A
235899,A,A,A,A,A
132468,A,A,A,A,A
154038,A,A,A,A,A
678579,A,A,A,A,A
154578,A,A,A,A,A
353819,A,A,A,A,A
681418,A,A,A,A,A
49608,A,A,A,A,A
60128,A,A,A,A,A
139259,A,A,A,A,A
287178,A,A,A,A,A
194279,A,A,A,A,A
596399,A,A,A,A,A
613169,A,A,A,A,A
599528,A,A,A,A,A
437118,A,A,A,A,A
305298,A,A,A,A,A
386768,A,A,A,A,A
581248,A,A,A,A,A
664809,A,A,A,A,A
294989,A,A,A,A,A
610319,A,A,A,A,A
196278,A,A,A,A,A
112148,A,A,A,A,A
388388,A,A,A,A,A
241788,A,A,A,A,A
383489,A,A,A,A,A
453059,A,A,A,A,A
229599,A,A,A,A,A
533368,A,A,A,A,A
143798,A,A,A,A,A
34878,A,A,A,A,A
213679,A,A,A,A,A
428879,A,A,A,A,A
659359,A,A,A,A,A
710399,A,A,A,A,A
618999,A,A,A,A,A
258039,A,A,A,A,A
308739,A,A,A,A,A
113828,A,A,A,A,A
154158,A,A,A,A,A
46798,A,A,A,A,A
21079,A,A,A,A,A
400778,A,A,A,A,A
651169,A,A,A,A,A
521659,A,A,A,A,A
391198,A,A,A,A,A
256919,A,A,A,A,A
642989,A,A,A,A,A
635419,A,A,A,A,A
133748,A,A,A,A,A
108108,A,A,A,A,A
333329,A,A,A,A,A
283998,A,A,A,A,A
601989,A,A,A,A,A
513328,A,A,A,A,A
360789,A,A,A,A,A
322658,A,A,A,A,A
22689,A,A,A,A,A
427628,A,A,A,A,A
561539,A,A,A,A,A
180269,A,A,A,A,A
68208,A,A,A,A,A
27839,A,A,A,A,A
625688,A,A,A,A,A
462809,A,A,A,A,A
221468,A,A,A,A,A
461108,A,A,A,A,A
636269,A,A,A,A,A
301988,A,A,A,A,A
675289,A,A,A,A,A
263149,A,A,A,A,A
98269,A,A,A,A,A
198028,A,A,A,A,A
419379,A,A,A,A,A
616448,A,A,A,A,A
612279,A,A,A,A,A
324878,A,A,A,A,A
127139,A,A,A,A,A
176458,A,A,A,A,A
511049,A,A,A,A,A
207969,A,A,A,A,A
74839,A,A,A,A,A
510059,A,A,A,A,A
380599,A,A,A,A,A
317168,A,A,A,A,A
216629,A,A,A,A,A
319699,A,A,A,A,A
589,A,A,A,A,A
342178,A,A,A,A,A
497698,A,A,A,A,A
656729,A,A,A,A,A
59419,A,A,A,A,A
439638,A,A,A,A,A
555928,A,A,A,A,A
274449,A,A,A,A,A
651348,A,A,A,A,A
650378,A,A,A,A,A
296869,A,A,A,A,A
406648,A,A,A,A,A
81008,A,A,A,A,A
179568,A,A,A,A,A
267619,A,A,A,A,A
24229,A,A,A,A,A
243559,A,A,A,A,A
99098,A,A,A,A,A
159788,A,A,A,A,A
